text	human	roberta-posthoc-ling
What if it is a rebound relationship for both of you ?	2	0.97238851
Good luck in your search for the one !	1	0.4103463989
Why does everyone seem to want someone that they can not have and know that they should not want ?	1	0.9740919791
Do you like to argue and fight ?	1	0.946250047
So , if you are set on that , that is the way to go !	0.5	0.5115335982
My ex of three years cheated .	0	0.1783826593
Work at it , but do not let him keep you locked up at home .	1	0.9968580527
Other than those two things , just ask him once in a while .	1	0.880745802
Also , men get bored and tire way before women do .	1	0.780327881
She is strong , loving , and most of all , really was not as happy as she thought she was .	2	0.9962782913
It is one way of saying I do not like you .	2	0.996475659
Only your mother loves you , and you might be jiving too .	1	0.9846050813
He loves you as well . Time will tell .	2	0.9973529017
He wants me to change how I look .	2	0.9194257605
I know I have someone to come home to .	1	0.699972722
Did you fall goog because I want to have sex , but you have to be careful ?	0	0.8949731913
You want all of your friends forever ?	1	0.2566456398
It does not mean that you are slutty .	0	0.9966949211
Going to a club and dancing .	1	0.4252322474
Do not go anywhere you went with him or her .	1	0.9710193703
They are a lot of fun , there is plenty to do .	1	0.9958256327
It depends on when you are ready .	2	0.9950563109
Stay 100 miles away from this guy .	1	0.1690626343
Be prepared , if it happens once it can happen again .	1	0.9949690829
I am just looking for the girl who wants that time with me .	1	0.8736466604
Not until he gets another girlfriend .	1	0.2917874261
Wife says that we do not wear that stuff .	1	0.8011591224
If you are asking , then you should break up and open yourself to other options .	2	0.9979691453
Why do homosexuals want to get married ?	3	0.7744981169
Saying sorry to him without committing a mistake is humilation to yourself , and do not ever get weak !	2	0.996130609
Do you have to rush your choice ?	1	0.8543386145
They both do not respect your feelings .	3	0.9973631946
No , seriously , think about how many cocky girls are out there .	2	0.443952585
She is too afraid to ask him out .	1	0.983133735
Get a grip , how can you love someone that you do not even communicate with ?	1	0.9683213752
I would ask you out , but I live in Oregon and have no idea where you live .	1	0.9878996142
They have never performed before and it doubles the pleasure .	3	0.9962565023
I will probably go and see one .	1	0.9032942067
Either way , best of luck , but I am just glad that I have brown hair !	1	0.5643535994
Mail me at honorarius @ yahoo.com and I will tell you .	3	0.9812568852
It is absolutely just a challenge .	3	0.9833109384
I am a girl so I will help you out .	2	0.9206471055
Do not tell them , but let them find out once you are in bed with her .	1	0.9978925276
If I would have kept my last name , it is just a freakin name .	0	0.699100372
I hardly ever see him in school either . Usually I see him at my brother 's basketball games .	2	0.9766914732
He is telling that to some girls as well , he is a womanizer .	2	0.9933459902
Drop his butts , there are plenty of fish in the sea of amore .	1	0.9277569978
I know because I am just like your wife .	1	0.8991213773
When she calls , text her back .	1	0.9322685511
I am five feet four inches tall and he is six feet two inches tall .	3	0.9987081543
